Line Segment Data,,,
,,,
Node A,Node B,Length (ft.),Config.
800,802,258,12
802,806,173,9
806,808,3223,12
808,810,580,2
808,812,3750,4
810,828,690,6
812,814,2973,7
814,850,10,7
816,818,171,12
816,824,1021,1
818,820,4815,11
820,822,1374,10
822,848,150,4
824,826,303,1
824,828,84,3
826,858,90,2
828,830,2044,10
830,854,52,2
832,858,490,9
834,860,202,10
834,842,28,12
836,840,86,10
836,862,28,6
842,844,135,11
844,846,364,1
846,848,53,2
850,816,31,3
852,832,10,4
854,856,2333,1
854,852,3683,2
858,864,162,2
858,834,583,2
860,836,268,11
862,838,486,1
888,890,1056,3
890,862,80,7
